music_names,urls
Monday Blues,https://genius.com/Junoflo-monday-blues-lyrics
Money,https://genius.com/Olltii-money-lyrics
Monologue,https://genius.com/Taemin-monologue-lyrics
Moon,https://genius.com/Everglow-korea-moon-lyrics
Moonlight,https://genius.com/Suran-moonlight-lyrics
Moonwalk,https://genius.com/Astro-k-pop-moonwalk-lyrics
Mr. Bass,https://genius.com/Ace-kpop-mr-bass-lyrics
Mudslinging,https://genius.com/Geegooin-mudslinging-lyrics
My Error,https://genius.com/Bvndit-my-error-lyrics
My Friends,https://genius.com/Neonpunch-my-friends-lyrics
My Hobby Is You,https://genius.com/Dreamnote-my-hobby-is-you-lyrics
My Shadow,https://genius.com/The-black-skirts-my-shadow-lyrics
My Star,https://genius.com/Kim-jaehwan-my-star-lyrics
My Star,https://genius.com/Mamamoo-my-star-lyrics
My Youth,https://genius.com/Kang-min-kyung-my-youth-lyrics
Nap of the Star,https://genius.com/Txt-nap-of-the-star-lyrics
Nar_C,https://genius.com/Holland-nar-c-lyrics
Natasha,https://genius.com/Son-dong-woon-natasha-lyrics
Nekoni Naritai (Korean Version),https://genius.com/Izone-neko-ni-naritai-korean-ver-lyrics
Never Forever,https://genius.com/Taemin-never-forever-lyrics
Never Sign,https://genius.com/Kidd-king-never-sign-lyrics
New Kicks,https://genius.com/Olltii-new-kicks-lyrics
News,https://genius.com/Jang-dong-woo-news-lyrics
Next To You,https://genius.com/Junho-from-2pm-next-to-you-lyrics
Nice Girl,https://genius.com/Hwang-chi-yeul-nice-girl-lyrics
No,https://genius.com/Clc-no-lyrics
No Filter,https://genius.com/George-and-coogie-no-filter-lyrics
Noir,https://genius.com/Sunmi-noir-lyrics
No More Drama,https://genius.com/Geegooin-no-more-drama-lyrics
No New Friends,https://genius.com/Olltii-no-new-friends-lyrics
No Reason,https://genius.com/Heize-no-reason-lyrics
No Reason,https://genius.com/Monsta-x-no-reason-lyrics
Not Knowing,https://genius.com/God-korea-not-knowing-lyrics
